trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-65.13244949954647,"{0: 12, 1: 11, 2: 1, 3: 1, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",25,0,-58.75616278944556,"{0: 11, 1: 12, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-53.90688119045667,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,0,-40.054325496276874,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,0,-71.96674632417415,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,0,-87.34262088135618,"{0: 9, 1: 9, 2: 0, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,0,-32.71517654642351,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,-37.539579481994096,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-69.77610715333554,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,0,-111.01576795391716,"{0: 9, 1: 14, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",35,0,-209.08803895715016,"{0: 13, 1: 17, 2: 2, 3: 0, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",25,0,-79.39365115799994,"{0: 12, 1: 12, 2: 0, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,5,-37.820308523914726,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,0,-42.97279691124602,"{0: 10, 1: 9, 2: 0, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,0,-104.92213569886543,"{0: 10, 1: 14, 2: 0, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",20,0,-41.711084944331326,"{0: 10, 1: 9, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,0,-65.5364313897694,"{0: 10, 1: 13, 2: 2, 3: 0, 4: 0}",0
